date,count,total_count,ratio
2023-07-22,5,4884,0.0010237510237510238
2023-07-23,3,4745,0.0006322444678609062
2023-07-24,5,10088,0.0004956383822363204
2023-07-25,16,11713,0.0013660035857594125
2023-07-26,16,12116,0.0013205678441729944
2023-07-27,14,11885,0.0011779554059739167
2023-07-28,9,10539,0.0008539709649871904
2023-07-29,8,4809,0.0016635475150758993
2023-07-30,2,4781,0.0004183225266680611
2023-07-31,32,10223,0.0031301966154749093
2023-08-01,4,11703,0.0003417927027257968
2023-08-02,30,11298,0.0026553372278279343
2023-08-03,13,11696,0.0011114911080711354
2023-08-04,10,10253,0.0009753242953281966
2023-08-05,2,4905,0.00040774719673802244
2023-08-06,1,4845,0.0002063983488132095
2023-08-07,8,9918,0.0008066142367412785
2023-08-08,64,11150,0.005739910313901345
2023-08-09,25,11220,0.0022281639928698753
2023-08-10,29,11532,0.002514741588622962
2023-08-11,16,10132,0.0015791551519936833
2023-08-12,5,4922,0.0010158472165786266
2023-08-13,20,4637,0.004313133491481561
2023-08-14,11,9989,0.0011012113324657122
2023-08-15,11,11047,0.000995745451253734
2023-08-16,6,10913,0.0005498029872628975
2023-08-17,13,10819,0.0012015897957297348
2023-08-18,12,9760,0.0012295081967213116
2023-08-19,3,4889,0.0006136224176723256
2023-08-20,4,5165,0.0007744433688286545
2023-08-21,12,9701,0.0012369858777445625
2023-08-22,7,8600,0.0008139534883720931
2023-08-23,9,8920,0.001008968609865471
2023-08-24,8,11077,0.0007222172068249526
2023-08-25,32,9517,0.003362404118945046
2023-08-26,4,5043,0.000793178663493952
2023-08-27,4,4848,0.0008250825082508251
2023-08-28,16,9401,0.0017019466014253802
2023-08-29,10,10906,0.0009169264624977076
2023-08-30,4,10886,0.00036744442403086535
2023-08-31,9,10851,0.0008294166436273154
2023-09-01,12,9545,0.0012572027239392352
2023-09-02,3,5115,0.0005865102639296188
2023-09-03,1,4539,0.0002203128442388191
2023-09-04,9,5607,0.0016051364365971107
2023-09-05,16,9842,0.001625685836212152
2023-09-06,16,10855,0.0014739751266697374
2023-09-07,12,10892,0.0011017260374586854
2023-09-08,5,10076,0.0004962286621675268
2023-09-09,4,5237,0.0007637960664502578
2023-09-10,5,5873,0.0008513536523071684
2023-09-11,4,9346,0.00042799058420714745
2023-09-12,1,10971,9.114939385653085e-05
2023-09-13,6,10776,0.0005567928730512249
2023-09-14,7,10910,0.0006416131989000917
2023-09-15,8,9797,0.0008165765030111259
2023-09-16,6,4773,0.001257071024512885
2023-09-17,1,5134,0.00019477989871445267
2023-09-18,14,9807,0.0014275517487508922
2023-09-19,11,10356,0.0010621861722672848
2023-09-20,18,10674,0.0016863406408094434
2023-09-21,9,10565,0.0008518693800283957
2023-09-22,17,9599,0.001771017814355662
2023-09-23,0,4795,0
2023-09-24,5,5017,0.000996611520829181
2023-09-25,5,9142,0.0005469262743382192
2023-09-26,2,10561,0.0001893760060600322
2023-09-27,23,10764,0.002136752136752137
2023-09-28,18,10799,0.0016668210019446246
2023-09-29,13,9834,0.0013219442749644091
2023-09-30,3,5181,0.0005790387955993051
2023-10-01,4,5167,0.000774143603638475
2023-10-02,13,9491,0.0013697186808555473
2023-10-03,21,9859,0.002130033471954559
2023-10-04,13,9999,0.0013001300130013002
2023-10-05,28,9434,0.002967988128047488
2023-10-06,20,7654,0.0026130128037627383
2023-10-07,10,4363,0.0022920009168003667
2023-10-08,5,4842,0.0010326311441553077
2023-10-09,18,8440,0.0021327014218009478
2023-10-10,28,10927,0.0025624599615631004
2023-10-11,36,10395,0.003463203463203463
2023-10-12,15,10901,0.0013760205485735253
2023-10-13,23,9851,0.0023347883463607755
2023-10-14,7,4655,0.0015037593984962407
2023-10-15,8,4330,0.0018475750577367205
2023-10-16,15,8492,0.0017663683466792276
2023-10-17,9,8770,0.0010262257696693272
2023-10-18,11,9578,0.0011484652328252244
2023-10-19,12,8594,0.0013963230160577147
2023-10-20,21,9162,0.0022920759659463
2023-10-21,1,4535,0.0002205071664829107
2023-10-22,8,4595,0.0017410228509249185
2023-10-23,9,8473,0.0010621975687477871
2023-10-24,16,9560,0.0016736401673640166
2023-10-25,8,9271,0.0008629058354007119
2023-10-26,10,9358,0.0010686044026501388
2023-10-27,16,9238,0.0017319766183156527
2023-10-28,4,4309,0.0009282896263634254
2023-10-29,1,4708,0.00021240441801189465
2023-10-30,5,8111,0.0006164468006411047
2023-10-31,14,9492,0.0014749262536873156
2023-11-01,11,9513,0.0011563124145905603
2023-11-02,13,8392,0.0015490943755958055
2023-11-03,7,8246,0.0008488964346349745
2023-11-04,3,3929,0.0007635530669381522
2023-11-05,10,4371,0.0022878059940517046
2023-11-06,7,7741,0.0009042759333419455
2023-11-07,8,8894,0.0008994827973914999
2023-11-08,36,10041,0.00358530026889752
2023-11-09,23,10775,0.002134570765661253
2023-11-10,25,9739,0.002566998665160694
2023-11-11,33,5219,0.006323050392795555
2023-11-12,4,5227,0.0007652573177731012
2023-11-13,36,9904,0.0036348949919224557
2023-11-14,23,10976,0.0020954810495626822
2023-11-15,14,10815,0.0012944983818770227
2023-11-16,11,11288,0.0009744861800141744
2023-11-17,11,10259,0.0010722292621113169
2023-11-18,3,5159,0.0005815080441946114
2023-11-19,8,5434,0.001472211998527788
2023-11-20,23,9517,0.0024167279604917517
2023-11-21,7,10068,0.0006952721493841876
2023-11-22,7,9928,0.0007050765511684126
2023-11-23,17,5557,0.0030592046068022316
2023-11-24,18,7085,0.0025405786873676783
2023-11-25,4,4703,0.0008505209440782479
2023-11-26,5,4880,0.0010245901639344263
2023-11-27,16,9748,0.0016413623307345096
2023-11-28,15,10650,0.0014084507042253522
2023-11-29,13,10978,0.0011841865549280378
2023-11-30,14,11152,0.001255380200860832
2023-12-01,28,10123,0.002765978464881952
2023-12-02,4,5126,0.0007803355442840422
2023-12-03,7,5015,0.0013958125623130609
2023-12-04,18,9799,0.0018369221349117256
2023-12-05,13,8504,0.0015286923800564441
2023-12-06,8,8048,0.0009940357852882703
2023-12-07,6,7164,0.0008375209380234506
2023-12-08,7,7925,0.0008832807570977918
2023-12-09,2,3967,0.0005041593143433325
2023-12-10,3,4038,0.0007429420505200594
2023-12-11,14,7516,0.0018626929217668972
2023-12-12,12,8437,0.0014223065070522697
2023-12-13,28,8478,0.0033026657230478887
2023-12-14,17,8439,0.0020144566891811826
2023-12-15,18,7651,0.00235263364266109
2023-12-16,4,3780,0.0010582010582010583
2023-12-17,9,4157,0.002165022853019004
2023-12-18,8,7706,0.0010381520892810796
2023-12-19,12,8116,0.0014785608674223755
2023-12-20,21,8137,0.0025808037360206463
2023-12-21,13,7734,0.0016808895784846134
2023-12-22,33,6819,0.004839419269687638
2023-12-23,6,3526,0.0017016449234259785
2023-12-24,2,3173,0.0006303183107469272
2023-12-25,5,2847,0.0017562346329469617
2023-12-26,7,5230,0.0013384321223709368
2023-12-27,11,6110,0.001800327332242226
2023-12-28,24,6128,0.0039164490861618795
2023-12-29,14,5768,0.0024271844660194173
2023-12-30,5,3590,0.001392757660167131
2023-12-31,10,3513,0.002846569883290635
2024-01-01,9,3748,0.00240128068303095
2024-01-02,8,6572,0.0012172854534388314
2024-01-03,16,5338,0.0029973772948669914
2024-01-04,10,2980,0.003355704697986577
2024-01-05,20,7797,0.0025650891368475055
2024-01-06,7,3988,0.0017552657973921766
2024-01-07,41,4377,0.009367146447338359
2024-01-08,21,8210,0.0025578562728380025
2024-01-09,8,8483,0.0009430625957797949
2024-01-10,16,9264,0.0017271157167530224
2024-01-11,17,9147,0.001858532852301301
2024-01-12,10,8248,0.0012124151309408342
2024-01-13,2,4251,0.0004704775346977182
2024-01-14,1,4173,0.00023963575365444525
2024-01-15,15,6218,0.0024123512383403024
2024-01-16,27,8605,0.003137710633352702
2024-01-17,12,8745,0.0013722126929674098
2024-01-18,16,8854,0.0018070928393946238
2024-01-19,24,7822,0.003068268984914344
2024-01-20,4,3817,0.001047943411055803
2024-01-21,17,4048,0.004199604743083004
2024-01-22,9,7805,0.0011531069827033953
2024-01-23,10,8861,0.0011285407967498026
2024-01-24,10,8556,0.0011687704534829358
2024-01-25,18,8842,0.002035738520696675
2024-01-26,5,7911,0.0006320313487548982
2024-01-27,5,3949,0.0012661433274246644
2024-01-28,2,3938,0.0005078720162519045
2024-01-29,9,7325,0.0012286689419795222
2024-01-30,11,8666,0.001269328409877683
2024-01-31,28,8877,0.0031542187676016674
2024-02-01,13,9000,0.0014444444444444444
2024-02-02,10,8063,0.0012402331638348009
2024-02-03,3,3760,0.0007978723404255319
2024-02-04,3,3917,0.0007658922644881287
2024-02-05,19,8042,0.0023625963690624223
2024-02-06,13,8908,0.0014593623709025594
2024-02-07,11,9118,0.0012064049133581926
2024-02-08,14,9414,0.0014871468026343743
2024-02-09,7,7990,0.0008760951188986233
2024-02-10,5,4444,0.0011251125112511251
2024-02-11,1,4534,0.00022055580061755624
2024-02-12,9,7779,0.0011569610489780178
2024-02-13,8,8903,0.0008985735145456587
2024-02-14,6,8977,0.0006683747354350006
2024-02-15,7,8940,0.0007829977628635347
2024-02-16,9,8166,0.0011021307861866275
2024-02-17,2,4062,0.0004923682914820286
2024-02-18,3,3765,0.0007968127490039841
2024-02-19,13,5865,0.002216538789428815
2024-02-20,13,8137,0.0015976404080127811
2024-02-21,11,8831,0.0012456120484656324
2024-02-22,13,8839,0.0014707546102500284
2024-02-23,6,7986,0.0007513148009015778
2024-02-24,7,4283,0.001634368433341116
2024-02-25,4,4092,0.0009775171065493646
2024-02-26,11,7835,0.0014039566049776644
2024-02-27,13,8801,0.0014771048744460858
2024-02-28,27,9361,0.002884307232133319
2024-02-29,33,9362,0.0035248878444776757
2024-03-01,17,8567,0.0019843585852690557
2024-03-02,7,4335,0.0016147635524798155
2024-03-03,10,4062,0.002461841457410143
2024-03-04,12,7956,0.0015082956259426848
2024-03-05,24,9213,0.0026050146532074245
2024-03-06,19,9093,0.0020895194105355766
2024-03-07,37,9035,0.004095185390149419
2024-03-08,37,8487,0.004359608813479439
2024-03-09,7,4252,0.0016462841015992475
2024-03-10,3,4815,0.0006230529595015577
2024-03-11,9,8414,0.0010696458283812693
2024-03-12,14,8918,0.0015698587127158557
2024-03-13,11,8873,0.0012397159923363012
2024-03-14,12,9111,0.0013170892327955218
2024-03-15,22,8339,0.0026382060199064638
2024-03-16,8,3801,0.002104709287029729
2024-03-17,3,3865,0.0007761966364812419
2024-03-18,12,7401,0.0016214025131738954
2024-03-19,14,8349,0.0016768475266498981
2024-03-20,21,8502,0.0024700070571630206
2024-03-21,24,8898,0.0026972353337828725
2024-03-22,14,8224,0.0017023346303501946
2024-03-23,9,4020,0.002238805970149254
2024-03-24,6,3869,0.0015507883173946756
2024-03-25,5,7548,0.0006624271330153683
