,MDGL,MDGL,MDGL,MDGL,MDGL,NVO,NVO,NVO,NVO,NVO
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2023-07-14,225.4600067138672,226.25999450683594,218.08999633789062,225.77000427246094,125200,77.55161134665374,77.9052174852458,76.63125678108565,77.57098388671875,2348800
2023-07-17,228.5,239.75999450683594,222.3000030517578,223.02999877929688,227700,78.27820947092903,78.39930818150208,77.77443469582907,77.96334838867188,2234000
2023-07-18,222.49000549316406,224.25999450683594,217.74000549316406,219.32000732421875,170600,77.59036401998944,77.90038382159416,77.22706788017265,77.62427520751953,1745800
2023-07-19,220.99000549316406,222.4600067138672,212.6699981689453,216.75999450683594,193300,77.68724953979056,77.97304073154643,77.28035224249183,77.61458587646484,1408000
2023-07-20,216.27999877929688,219.4199981689453,212.89999389648438,213.17999267578125,250500,79.28090490050462,80.6711157668589,79.28090490050462,79.67326354980469,3570800
2023-07-21,213.94000244140625,217.19000244140625,212.75,215.75,160100,79.54731285044852,80.48219124551755,79.50371909333998,80.24484252929688,2419200
2023-07-24,214.97000122070312,217.82000732421875,203.85000610351562,205.67999267578125,506800,79.3293366674741,79.41168289465426,78.50101832608647,78.50586700439453,2218000
2023-07-25,205.67999267578125,211.25,205.02000427246094,210.6300048828125,220400,77.7841302795313,78.94667502847598,77.73568783529224,78.62213134765625,2374600
2023-07-26,209.5399932861328,212.39999389648438,201.1699981689453,201.33999633789062,266200,77.07206202530064,77.08659327896027,75.92888992597926,76.67001342773438,3059000
2023-07-27,203.14999389648438,203.3000030517578,198.02999877929688,199.9199981689453,250100,76.80564694968886,76.8976831546518,75.87076842828398,75.88529968261719,2280400
2023-07-28,201.0,206.6199951171875,199.50999450683594,205.50999450683594,200300,75.87561477990022,76.58283456685827,75.5220085820609,76.44720458984375,2193200
2023-07-31,204.4600067138672,208.0,202.60000610351562,205.3000030517578,228300,77.87615955995615,78.33149188668571,77.44504845319108,78.0360107421875,2164600
